Paragraph_Number,Initiative,Context,Goal,Timeline
66,Pay for What You Build,Reduce the cost of land premiums in the Northern Metropolis,"Allow owners to pay premiums based on actual built floor area and use, rather than maximum floor area",Not specified
66,Phased Land Premium Payments,Provide flexibility in paying land premiums for developers,Allow developers to pay land premiums in phases according to the development scale,Not specified
67,Au Tau Land Use Review,To capitalize on the development potential brought by the Northern Link,Consider a larger proportion of private housing in the area around Sha Po at Au Tau Station for development into an NDA,Results to be announced next year
69,Dedicated Legislation for Northern Metropolis,To accelerate the development of Northern Metropolis,Empower the Government to devise simplified statutory procedures for various development and regulatory processes,Not explicitly mentioned
71,Hong Kong Park Construction,"To support the development of key industries such as life and health technology, microelectronics, new energy, and AI",Complete the construction of the remaining five buildings in Phase 1 of the Hong Kong Park,From 2027 onwards
72,Roll Out Remaining Land in Phase 1,To continue the development of Hong Kong Park,Facilitate the timely use of available land,This year
72,Complete Phase 2 Planning,To finalize the development scale and distribution of industries,Finalize Hong Kong Park's overall layout,Not specified
72,Flexible Workspace Offering,To enable companies to move in earlier,Allow companies to occupy spaces while construction is still underway,Not specified
75,Kwu Tung Station Construction,Support the development of the Northern Metropolis,Complete the construction of Kwu Tung Station,Completion in 2027
75,Hung Shui Kiu Station Construction,Support the development of the Northern Metropolis,Complete the construction of Hung Shui Kiu Station,Completion in 2030
75,Northern Link Spur Line Development,Support the development of the Northern Metropolis and integrate with the Main Line,Develop and commission the Northern Link Spur Line,Commissioning by 2034 or earlier
76,Hong Kong-Shenzhen Western Rail Link (Hung Shui Kiu-Qianhai) Project,"To enhance the comprehensive integration of metro networks in Hong Kong and Shenzhen, and boost industry's confidence in setting up operations in the GBA",Significantly enhance the GBA's infrastructure connectivity,"Pressing ahead with the project, expressions of interest invited from contractors and operators on the Hong Kong section"
77,Flexible Land Grant Arrangements,Leverage market forces to drive industry development,Facilitate industry growth by providing flexible land use options,Not specified
77,Tax Concessions,Leverage market forces to drive industry development,Reduce financial burdens on industries to encourage growth and investment,Not specified
77,Capital Subsidies,Leverage market forces to drive industry development,Provide financial support to industries to enhance their competitiveness and innovation,Not specified
77,Talent Grooming,Leverage market forces to drive industry development,Develop a skilled workforce to support industry growth and innovation,Not specified
78,Structural Upgrades of Service Industries,Increasingly dynamic market environment and rapid technological change,"Consolidate traditional strengths in sectors such as financial and legal services, and nurture emerging sectors like advanced manufacturing, life and health technology, new energy, AI, and data science",Not specified
79,Attracting High Value-Added Industries and High-Potential Enterprises,To promote high-quality development in Hong Kong,Attract high value-added industries and high-potential enterprises to set up in Hong Kong,Not specified
80,Flexible Policy Packages for Strategic Enterprises,To attract strategic enterprises to settle in Hong Kong,Enable the Office for Attracting Strategic Enterprises and InvestHK to negotiate settlement details flexibly and report to the Financial Secretary for approval,Not specified
80,Flexible Tax Incentive Mechanism,To enhance competitiveness and attract enterprises,Allow the Chief Executive and the Financial Secretary to introduce tax incentives that comply with international standards,Not specified
82,Aeronautic Services Partnership,To enhance Hong Kong's aviation industry and create new job opportunities,"Operate aircraft dismantling, recycling, and trading services, and provide talent training in relevant professions",Not specified
84,Attracting Pharmaceutical Companies,"To enhance Hong Kong's role in clinical trials and medical treatments for rare disease drugs, high-end cancer drugs, and advanced therapy products",Increase the number of pharmaceutical companies conducting clinical trials and medical treatments in Hong Kong,Not specified
84,Enhancing Patient Recruitment and Trial Initiation,To improve the efficiency of clinical trials in Hong Kong,Proactively enhance the efficiency of patient recruitment and trial initiation,Not specified
84,GBA Clinical Trial Collaboration Platform,To facilitate simultaneous clinical trials in Hong Kong and Shenzhen,Enable pharmaceutical companies to conduct trials simultaneously in Hong Kong and Shenzhen,Not specified
84,International Clinical Trial Academy,To nurture clinical trial professionals in the GBA,Prepare to set up the International Clinical Trial Academy for training clinical trial professionals,Not specified
84,Hosting International Summits and Forums,To promote Hong Kong as a hub for clinical trials and medical research,Host international summits and forums related to clinical trials,Not specified
85,Hong Kong Centre for Medical Products Regulation,To establish an internationally recognised regulatory authority for medical products,Set up the centre and submit a legislative proposal on regulating medical devices,2026
85,1+ Mechanism for New Drugs,To expedite the approval process for innovative drugs,Pilot priority evaluation and approval of innovative drugs recommended by the Hospital Authority for treatment of severe or rare diseases,Not specified
85,Standardisation of Clinical Data within the GBA,To promote the standardisation of clinical data,Establish a real-world data platform to help pharmaceutical companies bring innovative drugs to the Mainland and international markets more quickly,Not specified
86,Office for Introducing Innovative Drugs and Medical Devices,To identify the needs and benefits of innovative drug treatments for local patients through big data analytics,Bring in innovative drugs and medical devices that are cost-effective and beneficial to patients,Not specified
87,Expedite Application of Green Technologies,To meet the country's 'dual carbon' targets and achieve carbon neutrality before 2050,Accelerate the adoption of green technologies to support carbon reduction efforts,Not specified
87,Create Quality Employment Opportunities,To meet the country's 'dual carbon' targets and achieve carbon neutrality before 2050,Generate high-quality jobs in the new energy industry,Not specified
87,Build Influential Industry Chain,To meet the country's 'dual carbon' targets and achieve carbon neutrality before 2050,Develop a robust and influential industry chain of new quality productive forces in the new energy sector,Not specified
88,Sustainable Aviation Fuel (SAF) Industry Chain Development,Major airports and airlines globally are increasing their SAF consumption targets,"Develop a local SAF industry chain in the GBA, including raw material collection, production plants, and large-scale production, to meet the specified SAF consumption ratio for flights from HKIA by 2030",By 2030
88,SAF Blending Facility Construction,To enhance the competitiveness of the local SAF industry and increase airlines' bargaining power,Construct an SAF blending facility,Not specified
89,Hydrogen Standard Certification,To support the development and safe use of hydrogen energy,Formulate hydrogen standard certification,Not specified
89,Public Hydrogen Filling Facilities,To expand the hydrogen infrastructure,Establish public hydrogen filling facilities on Hong Kong Island and in Kowloon,Not specified
89,Additional Hydrogen Trial Projects,To further explore and develop hydrogen energy applications,Press ahead with more trial projects,Not specified
89,GBA Hydrogen Corridor,To collaborate with the Guangdong Province on regional hydrogen development,Develop the GBA Hydrogen Corridor,Not specified
90,Electric Vehicle Battery Recycling Facility,To address the growing need for sustainable EV battery disposal and recycling,Promote the development of the EV battery recycling industry by recycling locally retired batteries and supplying the recycled black mass to the Mainland and neighbouring regions,Expected to commence operation in the first half of 2026
91,Promotion of AI as a Core Industry,"Leverage Hong Kong's advantages in scientific research, capital, data, and talent to become a global hub for AI development","Achieve extensive and deep integration of AI across sectors, focusing on 'industries for AI' and 'AI for industries' while emphasizing safety risk prevention",Not specified
92,AIR@InnoHK Research Cluster,To nurture local and attract overseas and Mainland AI professionals,Enhance AI R&D capabilities and lay the foundations for wide-ranging AI applications,Not specified
93,Frontier Technology Research Support Scheme,To attract international top-notch scientific researchers in AI and other fields to Hong Kong,To spearhead basic research in frontier technologies,Applications will be invited soon
94,Hong Kong AI Research and Development Institute,"Facilitate upstream, midstream, and downstream AI R&D and expand use cases",Enhance AI research and development and promote practical applications,2026
95,Continued AI Industry Support through HKIC Investments,Hong Kong has developed full-fledged financing channels and the HKIC has already invested in AI enterprises,Support the development of the AI industry through continued investments,Ongoing
96,Cross-Boundary Data Flow Mechanism,"Leverage the advantages of 'One Country, Two Systems' to support scientific research and innovation",Establish a compliant and secure mechanism for cross-boundary flow of Mainland data to Hong Kong Park,Early establishment (no specific date mentioned)
97,Data Facility Cluster Development at Sandy Ridge,To provide advanced computing power facilities and promote the development of data and AI-related industries,Develop a data facility cluster on a site of about 10 hectares at Sandy Ridge in the North District,This year
99,AI Applications in Government Services,Widespread application of AI can create greater value to society,"Promote AI applications in government services for data analysis, customer service, and document processing while ensuring security and controllability",Not specified
100,AI for Non-Emergency Police Reports,To assist the public in making non-emergency reports to the police,Expedite the process of reporting and handling non-emergency incidents,Not specified
100,AI for Transport Licence Vetting,To streamline the vetting and approval process for transport licences,Speed up the issuance of transport licences,Not specified
100,AI for Traffic Management,To improve traffic flow and management,Divert traffic flow based on real-time data to reduce congestion,Not specified
100,AI Assistant for iAM Smart and Digital Corporate Identity,To enhance user experience on government digital platforms,"Provide personalized services and recommend suitable funding schemes and public service support, especially for SMEs",Not specified
100,AI Chatbot for Carer Support,To provide easier access to information for carers,Offer convenient and accessible information to carers,Not specified
100,AI for Histopathological and Cytological Analysis,To improve the accuracy of medical analysis,"Enhance patient care efficiency, hospital management, and service quality through digital pathology technology and AI",Not specified
100,Generative AI in Clinical Workflows,To promote the use of advanced AI in healthcare,"Enhance patient care efficiency, hospital management, and service quality",Not specified
101,AI Sandbox Initiative (Second Cohort),Promote AI applications in financial institutions,Encourage more financial institutions to adopt AI,Not specified
101,AI Model Evaluation Approach,Enhance system security in financial institutions,Develop and implement an AI model evaluation approach,Not specified
101,AI Subsidies for Private Sector Construction,Encourage the application of AI in private sector construction works,Provide financial support for AI adoption in construction,Not specified
101,Inter-departmental Working Group on AI Legislation,Support wider application of AI,Review and develop necessary legislation,Not specified
104,Establishment of Corporate Treasury Centres (CTCs) and Regional Headquarters,Mainland enterprises are exploring emerging markets and need support for cross-boundary financial and professional services,"Facilitate Mainland enterprises in establishing CTCs and regional headquarters in Hong Kong to handle cross-boundary settlement, remittance, financing, and related functions",Not specified
104,Leverage Professional High Value-Added Supply Chain Services,Mainland enterprises require support in exploring overseas markets,"Provide Mainland enterprises with access to Hong Kong's professional services in accounting, law, and other high value-added supply chain services to aid their international expansion",Not specified
104,Utilize Hong Kong's Marketing Strengths,Mainland enterprises need to connect with global buyers and build international brands,Help Mainland enterprises leverage Hong Kong's marketing expertise to connect with global buyers and build international brands,Not specified
106,One-Stop Platform for Mainland Enterprises,To encourage Mainland enterprises to use Hong Kong as a base for expanding their businesses overseas,Mobilize Hong Kong's overseas offices and Mainland offices to support Mainland enterprises in going global,Not specified
106,Task Force on Supporting Mainland Enterprises in Going Global (GoGlobal Task Force),To provide coordinated support for Mainland enterprises looking to expand their businesses overseas,"Formulate proposals and coordinate various bureaux, departments, and agencies to assist Mainland enterprises",Not specified
107,Encourage Regional Headquarters in Hong Kong,Leverage Hong Kong's strengths to help Mainland banks expand into Southeast Asia and the Middle East,Provide more comprehensive cross-boundary financial solutions,Not specified
108,Tax Concessionary Measures Study,To attract more Mainland enterprises to establish CTCs (Centralized Treasury Centers) in Hong Kong,Enhance tax concessionary measures to make Hong Kong more attractive for Mainland enterprises,First half of 2026
109,Hong Kong-Saudi Arabia Investment Fund,To support Hong Kong and GBA enterprises expanding into Saudi Arabia,Facilitate investment and business opportunities in Saudi Arabia,Established with an initial US$1 billion
110,Southeast Asian Market Exploration Delegations,To explore business opportunities in Southeast Asian markets such as Vietnam and support the 'going global' platform,Pool industry strengths to facilitate business opportunities for banking representatives and SMEs,Not specified
111,Exhibition Industry Support,Leverage the strengths of Hong Kong's exhibition industry and consolidate its position as a platform for Mainland brands to 'go global' and for 'bringing in' international brands,Support the trade to organise more events conducive to brand development,Not specified
112,Carbon Audit Services Development,To assist enterprises in meeting international requirements and standards on green trade in respect of carbon emission reduction,Promote the development of carbon audit services,Not specified
114,AIIB Office in Hong Kong,To enhance Hong Kong's role as an international financial hub,Invite the Asian Infrastructure Investment Bank to set up an office in Hong Kong,Not specified
114,HKEX Co-operation with Southeast Asian Exchanges,To deepen financial ties and attract more listings,Attract Southeast Asian issuers to seek secondary listings in Hong Kong and encourage asset management companies to issue products in their local markets,Not specified
115,Belt and Road Personnel Training,To support the development of B&R countries and enhance their capabilities,Train personnel from B&R countries,Not specified
115,Belt and Road Commercial Project Matching,To leverage Hong Kong's professional service sectors in B&R markets,Match commercial projects in B&R markets with Hong Kong professional service sectors,Not specified
116,B&R Green Development Co-operation Platform,Promote green cooperation with B&R countries,Facilitate joint efforts in green development,Not specified
116,B&R Sustainable Green Development Training Centre,Enhance capacity building for B&R countries in sustainable green development,Provide training courses for personnel from B&R countries,2026
119,World Internet Conference Asia-Pacific Summit and InnoEX,Promote Hong Kong as a hub for technology and innovation,Organize major international technology and innovation events,This year and next
119,Hong Kong Fixed Income and Currency Forum,Enhance Hong Kong's position as a financial hub,Host the inaugural forum to discuss fixed income and currency issues,This year and next
119,INTERPOL General Assembly,Strengthen international law enforcement cooperation,Host the INTERPOL General Assembly,This year and next
119,"GBA Conference on Inheritance, Innovation and Development of Traditional Chinese Medicine",Promote the development and innovation of Traditional Chinese Medicine,"Host a conference to discuss the inheritance, innovation, and development of Traditional Chinese Medicine in the Greater Bay Area",This year and next
119,Association of National Olympic Committees General Assembly,Enhance Hong Kong's role in international sports,Host the General Assembly of the Association of National Olympic Committees,This year and next
119,Asia-Pacific Association for International Education Conference and Exhibition,Promote international education and collaboration,Host the conference and exhibition to foster international education cooperation,This year and next
119,Research Summit of the Research Grants Council,Promote research and academic collaboration,Host the first Research Summit of the Research Grants Council,This year and next
119,Hong Kong International Correctional Services Response Tactics Training Academy,Enhance international exchanges and professional training in correctional services,Establish a training academy for international correctional services response tactics,This year and next
119,Support for Hosting International Conferences and Publishing Academic Journals,Enhance Hong Kong's academic and professional standing,Support local universities and professional organizations in hosting international conferences and publishing influential academic journals,Ongoing
119,I&T Collaboration with International and Regional Organizations,Promote international and regional collaboration in innovation and technology,Participate in and promote I&T collaboration with organizations like the International Organization for Standardization,Ongoing
123,HKIA Dongguan Logistics Park Phase 1,To reduce operating costs for cargo transhipment and enhance GBA cooperation,Complete permanent facilities in stages starting from the end of this year,Starting from the end of this year
123,HKIA Dongguan Logistics Park Phase 2,To further enhance logistics and e-commerce capabilities,Conduct preliminary study and introduce more high value-added logistics and cross-boundary e-commerce facilities,Commence this year
124,GBA Arbitrators Panel and Mediation/Arbitration Platform,To lower enterprises' costs of cross-boundary dispute resolution,Promote a panel of GBA arbitrators and a platform for GBA commercial mediation and arbitration,Not specified
125,Cross-Boundary Ambulance Transfer Expansion,"Enhance emergency medical services between Hong Kong, Guangdong, and Macao",Implement two-way ambulance transfers and expand coverage to designated hospitals in Zhuhai and Nansha,Not specified
126,Enhance Cross-boundary Credit Referencing,To facilitate Hong Kong banks' credit assessment of Mainland residents and enterprises in Hong Kong,Improve the accuracy and efficiency of credit assessments for cross-boundary financial services,Not specified
126,Shenzhen-Hong Kong Cross-boundary Data Validation Platform,To facilitate Hong Kong banks' credit assessment of Mainland residents and enterprises in Hong Kong,Enhance the reliability and security of data used in cross-boundary financial transactions,Not specified
127,Enhance Payment Connect for Remittance,To improve the disbursement arrangements for portable cash assistance,Allow Hong Kong elderly recipients retiring in Guangdong and Fujian Provinces to receive Government assistance directly through their bank accounts with designated Mainland banks,Next year (2024)
128,Commodity Trading and Carbon Trading Development,Strengthen mutual cooperation with exchanges in the GBA,"Develop commodity trading, carbon trading, and other businesses",Ongoing
128,Offshore Spot Soybean Market Development,HKEX is a controlling shareholder of the Qianhai Mercantile Exchange,Strengthen mutual cooperation for the development of the offshore spot soybean market,Ongoing
128,Cross-Boundary Trade Settlements for Carbon Markets,"Core Climate, the carbon marketplace of the HKEX, will collaborate with pilot carbon markets in the GBA",Explore cross-boundary trade settlements on a trial basis,Trial basis (no specific dates mentioned)
129,Cross-Border Industry Chain Development with Nansha,"Strengthen collaboration between the HKIC and the Guangdong Government to support high technology content enterprises, such as biotech and health tech start-ups",Enhance cross-border industry chain development,First phase in Nansha
132,Deepen Equity Market,Strengthen Hong Kong's financial system and international financial centre status,Enhance the depth and liquidity of the equity market,Not specified
132,Expand World-Class Bond Market,Strengthen Hong Kong's financial system and international financial centre status,Develop a robust and diversified bond market,Not specified
132,Vibrant Currency Market,Strengthen Hong Kong's financial system and international financial centre status,Enhance the currency market to support international trade and investment,Not specified
132,Advance Insurance Sector,Strengthen Hong Kong's financial system and international financial centre status,Promote the growth and innovation in the insurance industry,Not specified
132,Expand Asset Management Sector,Strengthen Hong Kong's financial system and international financial centre status,Enhance the asset management industry to attract global investors,Not specified
132,Expand Wealth Management Sector,Strengthen Hong Kong's financial system and international financial centre status,Develop a robust wealth management industry to serve high-net-worth individuals and institutions,Not specified
132,Develop Premier International Gold Trading Market,Strengthen Hong Kong's financial system and international financial centre status,Establish Hong Kong as a leading hub for gold trading,Not specified
132,Drive Fintech Development,Strengthen Hong Kong's financial system and international financial centre status,Promote innovation and adoption of financial technology,Not specified
132,Promote Green and Sustainable Finance,Strengthen Hong Kong's financial system and international financial centre status,Support the transition to a sustainable economy through green finance products and services,Not specified
134,Leverage Technology Enterprises Channel,To assist Mainland technology enterprises in raising funds in Hong Kong,Strengthen financial support for the nation's development as a science and technology powerhouse,Not specified
134,Optimize Listing Regimes,To improve the listing process on the Main Board and for issuing structured products,Enhance the listing requirements for companies with weighted voting right structures,Not specified
134,Shorten Stock Settlement Cycle,To improve the efficiency of stock trading,Explore shortening the stock settlement cycle to T+1,Not specified
134,Encourage Secondary Listings,To attract more overseas enterprises,Encourage more overseas enterprises to seek secondary listing in Hong Kong,Not specified
134,Support China Concept Stocks,To support the return of China Concept Stock companies from overseas markets,Make Hong Kong the preferred destination for these companies,Not specified
134,RMB Trading Counter for Stock Connect,To enhance the Stock Connect Southbound trading for Hong Kong stocks,Include an RMB trading counter under Stock Connect's Southbound trading for Hong Kong stocks,Not specified
136,CMU OmniClear and HKEX Collaboration,Enhance financial infrastructure and foster interplay between various mutual-market access mechanisms,Explore centralised management and cross-collateralisation of assets (such as shares and bonds) on a single platform,Not specified
136,Connections with International Markets,Establish connections with markets such as Switzerland and the United Arab Emirates,Promote the use of offshore Chinese Government Bonds as collateral in different clearing houses,Not specified
136,Electronic Bond-Trading Platform Feasibility Study,Study the feasibility of an innovative electronic bond-trading platform,Improve market liquidity and efficiency,Not specified
136,Commercial Repo Market and Central Counterparty Regime,Promote the establishment of a commercial repo market and a central counterparty regime,Improve market liquidity,Not specified
137,Offshore Treasury Bond Futures,Expand financial market connectivity with the Mainland,Introduce offshore treasury bond futures in Hong Kong,Ongoing discussions
137,Expand Swap Connect,Enhance financial market integration and product diversity,Expand the variety of interest rate derivatives under Swap Connect,Ongoing
137,OTC Derivatives Development,Promote financial market innovation and growth,Promote the development of over-the-counter derivatives,Ongoing
137,Cross-Boundary RMB Repo Business,Strengthen cross-border financial collaboration and RMB internationalization,Explore the launch of the cross-boundary RMB repo business in collaboration with the Mainland,In due course
138,Enhanced Market Outreach for Corporate Bonds,To encourage more enterprises to issue corporate bonds in Hong Kong,Attract global capital to participate in Hong Kong's bond market,Not specified
140,RMB Business Facility,To enhance the liquidity and global reach of the offshore RMB market in Hong Kong,"Provide enterprises with longer-term RMB financing for trade, daily operation, and capital expenditure, supporting the use of RMB in the real economy",Not specified
140,Diversified Channels for Cross-Boundary Capital Acquisition,To enhance the liquidity and global reach of the offshore RMB market in Hong Kong,Provide a stable source of RMB funds for the market at a relatively low cost,Not specified
140,Facilitating Foreign Exchange Quotations and Transactions,To enhance the liquidity and global reach of the offshore RMB market in Hong Kong,Explore measures to facilitate foreign exchange quotations and transactions between RMB and other regional currencies in Hong Kong,Not specified
141,Increase RMB Bond Issuance,To enhance the use of RMB in financial transactions and support the development of the RMB market,Issue more RMB bonds,Not specified
141,Consider RMB for Government Expenditure,To promote the use of RMB in government financial operations,Consider settling government expenditure in RMB under suitable circumstances,Not specified
143,Gold Storage Facilities Establishment,Support the Airport Authority Hong Kong (AAHK) and financial institutions to establish Hong Kong's gold storage facilities,"Propel Hong Kong into a regional gold reserve hub with a target gold storing capacity of over 2,000 tonnes",Three years
